id,created_at,lang,original text,user_name,place,place type,bbx,coordinates
1377903614631497730,Fri Apr 02 08:39:56 +0000 2021,en,Okay Egypt we will stop the GERD and start using each contributor river to Abay (Nile) for our irrigation purpose.… https://t.co/WGDfLrq1c9,Robinaf Bisrat,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
1377651561409740806,Thu Apr 01 15:58:22 +0000 2021,en,Never wanted to duck so bad until I read that LRT and was like this ain't my fight... should have stayed humble https://t.co/20BtPlckUj,Ayuel,Central Equatoria,admin,"[[[29.7973877, 3.484555], [32.2245493, 3.484555], [32.2245493, 6.2381296], [29.7973877, 6.2381296]]]",no coordinates
1377585888386027521,Thu Apr 01 11:37:24 +0000 2021,en,@Gaha00969749 @PatrickHeinisc1 @elmligyy @_AfricanUnion Exactly we are not the ones who want war it's Egypt and Sud… https://t.co/22mZWv6SnQ,McLovin🇪🇹,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
1376972895478546441,Tue Mar 30 19:01:35 +0000 2021,en,"Nimeiry, likes, reblogs and comments might motivate and encourage you to write more, and if you like a writer’s wor… https://t.co/OIIYpIzOJa",Nimeiry Abiad ✨⁦⁦⁦⁦⁦✊ نميري ابيض✨✊,Juba,city,"[[[31.5623121, 4.8142593], [31.6228409, 4.8142593], [31.6228409, 4.873278], [31.5623121, 4.873278]]]",no coordinates
1376945964750094336,Tue Mar 30 17:14:35 +0000 2021,en,We needed this so bad! Thank you #Walya #ethiopia,Marta Teshome Bekele,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
1376891139165392905,Tue Mar 30 13:36:43 +0000 2021,en,Exactly! If our “government” was actually a government then all the foreigners and everything else would be in its… https://t.co/Y2gAuuxRzA,Asara Bullen Panchol,Juba,city,"[[[31.5623121, 4.8142593], [31.6228409, 4.8142593], [31.6228409, 4.873278], [31.5623121, 4.873278]]]",no coordinates
1376853016427520000,Tue Mar 30 11:05:14 +0000 2021,en,@GoPro It’s grotesque how bad your customer service is. My faulty new Hero 9 is sitting with YOUR courier awaiting… https://t.co/1f8i8SPueO,Mark,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
1376539349039382530,Mon Mar 29 14:18:50 +0000 2021,en,"We're  poor; we aren't poor. Yes, this is a contradictory statement and the contradiction is there. Our country is… https://t.co/25U1AP8MEC",Abdisalam Yassin,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1376487727873556480,Mon Mar 29 10:53:42 +0000 2021,en,"@684514d9bd714bb @SahraCabdi If she was muslimah may Allah Mercy on her 
I didn't say Anything bad Allah is the one… https://t.co/6nOZ1mGbNI",Shuceyp Dhuubane,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1376339938254467073,Mon Mar 29 01:06:27 +0000 2021,en,"@AbelAsrat11 Nah Man, It's just ብሄር ብሄረሰቦች vomiting the bad food they ate for the past 27+years.",Robinaf Bisrat,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
1376050704943579136,Sun Mar 28 05:57:08 +0000 2021,en,"""You are very lucky if you have someone to tell about your bad behavior without him thinking that you are a bad per… https://t.co/x9XNgVpGVo",Nimeiry Abiad ✨⁦⁦⁦⁦⁦✊ نميري ابيض✨✊,Juba,city,"[[[31.5623121, 4.8142593], [31.6228409, 4.8142593], [31.6228409, 4.873278], [31.5623121, 4.873278]]]",no coordinates
1375901449247416324,Sat Mar 27 20:04:03 +0000 2021,en,"Racism and Nationalism Have No place in Islam🕋, So Lets Protect Our Brothers From That Bad Action specially In Our… https://t.co/IKig1o011k",Bishaar Osmaan,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1375844605598568454,Sat Mar 27 16:18:10 +0000 2021,en,"There are two choices 
A/Good
B/Bad 
please choose A for Ethiopia .That is all we need now !
#EthiopiaPrevails",Dan.MD,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
1375837674913812480,Sat Mar 27 15:50:38 +0000 2021,en,Hargeisa city needs a new mayor and energetic local council a lot of problems are exciting in Hargeisa all in  infr… https://t.co/YHFRYyF10g,Abdillahi xuquuq,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
