id,created_at,lang,original text,user_name,place,place type,bbx,coordinates
1378016144506896385,Fri Apr 02 16:07:05 +0000 2021,en,"Amazing lunch @beit.almandi  #ethiopia #foodinethiopia #sainethiopia @ Addis Ababa, Ethiopia https://t.co/JCXV0OrBLs",Mishall,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]","[38.7653, 8.995]"
1377991841098952705,Fri Apr 02 14:30:31 +0000 2021,und,"#Ethiopia 💪💪💪💪💪💪🔴🔴🔴🔴🔴
Stop amhara Genocide !!!! https://t.co/OrZm9tcU0o",Single AMHARA,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
1377987352602288128,Fri Apr 02 14:12:41 +0000 2021,en,Athletes from Run Africa AC successfully completed a 9-day training program in 'Life Skills'. They learned to ident… https://t.co/SP9V0yiawk,Run Africa,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
1377979845288861698,Fri Apr 02 13:42:51 +0000 2021,en,@1_filsan Expertise of young people working on the Civil society and major intergovernmental &amp; international orgs i… https://t.co/Lz86xN7AZi,Samson Haileyesus Kebede,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
1377965446494756869,Fri Apr 02 12:45:38 +0000 2021,und,#Ethiopia @PreciseConsult @Henok_B_Kiros https://t.co/NyKaneeDa1,Henok 🇪🇹🇺🇸,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
1377960389141467138,Fri Apr 02 12:25:32 +0000 2021,en,"A true jewel of Addis Ababa, ELGEL hotel and Spa.

ELGEL'S view Wine &amp; Grill is ready to make your weekend eventful… https://t.co/Zm92wMR7G2",Elgel Hotel and Spa,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
1377955968361902080,Fri Apr 02 12:07:58 +0000 2021,und,#Ethiopia https://t.co/K8vs8UejEf,መርዕድ ብሥራት ፍቅረዬሐንስ 🇪🇹 Mered Besrat Fikireyohannes,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
1377950985897840641,Fri Apr 02 11:48:10 +0000 2021,und,#Hawassa #Ethiopia ❤️ https://t.co/BznhpQuH4M https://t.co/jDJsUPt1PK,Ramesh | රමේෂ් #lka,"Shade #33, Hawassa Industrial Park, Ethiopia. (EPiC Apparel Pvt. Ltd, EPIC Group)",poi,"[[[38.501633, 7.068908], [38.501633, 7.068908], [38.501633, 7.068908], [38.501633, 7.068908]]]",no coordinates
1377935032090824706,Fri Apr 02 10:44:47 +0000 2021,zh,"世界上不缺少美，但是缺少发现美的眼睛。There is everything beautiful in the world but to be found.❤️
#Ethiopia #Addisababa #ADD… https://t.co/3Hhuq6dDpR",Bruce ብሩስ🇨🇳🇪🇹,Addis Ababa Bole International Airport,poi,"[[[38.796152490953546, 8.983055343819473], [38.796152490953546, 8.983055343819473], [38.796152490953546, 8.983055343819473], [38.796152490953546, 8.983055343819473]]]",no coordinates
1377907564642439168,Fri Apr 02 08:55:38 +0000 2021,en,186  in oromia and 12 in benishangul gumz regions of #Ethiopia Amhara ehinic groups has been massacard brutualy in… https://t.co/Qa23Z64n9x,ምቴ,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
