id,created_at,lang,original text,user_name,place,place type,bbx,coordinates
1378020961371488262,Fri Apr 02 16:26:14 +0000 2021,en,What i have learnt on my #galmudug trip: i never thought that #qurac has this beautiful flower🤭.  #qurac… https://t.co/5xbeUJAQs5,Fartun Orey,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1377658683358855176,Thu Apr 01 16:26:40 +0000 2021,en,"Friendly faces 😎

Check the full story on my IG: 

https://t.co/FTtDMN21IC

#Afgoye #Somalia https://t.co/2f0spTGv5q",MUKHTAR NUUR | مختار نور,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1377653193656692742,Thu Apr 01 16:04:51 +0000 2021,en,"Weekend's  Promotion!
_____
🌐 https://t.co/nQgBF2PLm2

 #MTDP2021 #RewardingCareers #staysafe #coronavirus #BeMore… https://t.co/xCbVxRUuSB",ACCORD UNIVERSITY,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1377562541052813316,Thu Apr 01 10:04:38 +0000 2021,et,"Covid19 Kahortag Kana Daba Tag. Dhuusamareeb, Galmudug - Somalia 
Galgaduud Regional Hospital.
@MoHGalmudug… https://t.co/hgvx417M2m",Zakarie Abdalla 🇸🇴,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1377333971520868352,Wed Mar 31 18:56:23 +0000 2021,en,@WeTheHorn He is breaking the bridges with floods of baseless and pointless talks. Far from the truth. When ur coun… https://t.co/PiJD0Ku6Iv,Yousuf A. Osman ‘Safary’,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1377307611071193088,Wed Mar 31 17:11:38 +0000 2021,en,"the blue sea, the white clouds. How beautiful nature gives #Somalia! https://t.co/f6NaWZ3JMb",Cabdulqadir Axmed,Chelsea Village,poi,"[[[45.30587226496532, 2.0192224258594655], [45.30587226496532, 2.0192224258594655], [45.30587226496532, 2.0192224258594655], [45.30587226496532, 2.0192224258594655]]]",no coordinates
1377262470667059206,Wed Mar 31 14:12:15 +0000 2021,en,"Congratulations to our committed learners who have achieved this milestone, in line with international standards, t… https://t.co/tL6kxTZTjN",ACCORD UNIVERSITY,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1377248621054296071,Wed Mar 31 13:17:13 +0000 2021,tl,Waxaan aad ugu faraxsanahay in qeyb ka ahaa manhajka waxbarasho ee #Puntland maanta yeelatay oo qoran dugsiyada hoo… https://t.co/OWqOsj8QZ0,Xudayfe SHade,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1376841567391121408,Tue Mar 30 10:19:44 +0000 2021,in,"Macallin Isak, oo 103 jir ah ku nool magaalada #Baydhabo ayaa noqday qofkii ugu da'da weynaa ee qaatay tallaalka… https://t.co/N2mqhLNENM",𝗠𝗼𝗵𝗮𝗺𝗲𝗱 𝗦𝗮𝗹𝗮𝗱 🇸🇴,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1376831105664479232,Tue Mar 30 09:38:10 +0000 2021,tl,"Throwback August 2019 at Kampala uganda.

#kampala #uganda #somalia #puntland @ Xarfo https://t.co/X9hRnnBYvL",Yakub Aden,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]","[47.6164367, 7.345615]"
1376793520967667713,Tue Mar 30 07:08:49 +0000 2021,en,"I have a lot of respect for the young people who have not given much in life and decided to get up and work hard, w… https://t.co/uHH0tKIJOl",MUKHTAR NUUR | مختار نور,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1376756692076138498,Tue Mar 30 04:42:28 +0000 2021,en,Brief vedio on the Virtual Launch Ceremony for the  National Durable Solutions Strategy 2020 - 2024 for #Somalia. A… https://t.co/XCb6WxvHZc,Zahra Abdi,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1376653898165981187,Mon Mar 29 21:54:00 +0000 2021,und,#EastAfrica #art #Somalia https://t.co/tlO3DQ2N7R,AßRAHAM 🇸🇴,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1376621886302478337,Mon Mar 29 19:46:48 +0000 2021,en,"When you overthinking like @M_Farmaajo you look tired 😂
#joke #Somalia https://t.co/f5y3bChq2I",Xudayfe SHade,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1376551114322149377,Mon Mar 29 15:05:35 +0000 2021,en,"Kassim, as much as this has a downside, there’s a lot of silver linings to take away from as well. Delivering alter… https://t.co/HFtCQ9RjCL",Abdul khaaliq Mahdi,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
