id,created_at,lang,original text,user_name,place,place type,bbx,coordinates
1377534342759641088,Thu Apr 01 08:12:35 +0000 2021,en,Something went wrong with Khartoum weather's today,Bakri 𓀁,Khartoum,admin,"[[[31.6211988, 15.1691426], [34.380624, 15.1691426], [34.380624, 16.6604146], [31.6211988, 16.6604146]]]",no coordinates
1376776377643401223,Tue Mar 30 06:00:42 +0000 2021,en,This is the weather in Gulu this morning https://t.co/6DnvQ7NwXl,Otim UG Bongomin,Gulu University,poi,"[[[32.31546015557913, 2.7887263054985194], [32.31546015557913, 2.7887263054985194], [32.31546015557913, 2.7887263054985194], [32.31546015557913, 2.7887263054985194]]]",no coordinates
1376099412020236300,Sun Mar 28 09:10:41 +0000 2021,en,"@muleta_ledet @Fene1 @IliaVolkova It doesn't matter weather the account is fake or not.
The way how Ethiopian gover… https://t.co/LJWPb8XTGB",birlew teshome;MD,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
1376055870992351238,Sun Mar 28 06:17:40 +0000 2021,en,The weather tho 👌😍,Bakri 𓀁,Khartoum,city,"[[[32.4586111, 15.432509], [32.631396, 15.432509], [32.631396, 15.6163162], [32.4586111, 15.6163162]]]",no coordinates
1375881190310297606,Sat Mar 27 18:43:33 +0000 2021,en,It's nice and cold weather why there's no electricity?,Bakri 𓀁,Khartoum,city,"[[[32.4586111, 15.432509], [32.631396, 15.432509], [32.631396, 15.6163162], [32.4586111, 15.6163162]]]",no coordinates
1375817442191101955,Sat Mar 27 14:30:14 +0000 2021,en,"Current #weather in #Ceek, Sunny with a #temperature of 29 degrees celsius. Keep track of the weather in Ceek -&gt; https://t.co/sDIeOxNqoy",Bowvie Weather,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]","[45.3582, 8.9991]"
1375712266084093952,Sat Mar 27 07:32:18 +0000 2021,en,I love Addis Ababa amazing city devolved and lovely weather with good people @ethiopia #Addisababa https://t.co/iXCmgcJp8G,Amin H Jama,Somalia,country,"[[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]]",no coordinates
1375558090377076736,Fri Mar 26 21:19:40 +0000 2021,en,@pxinss @NASA Yes. I saw it last night with my telescope. The weather was so clear. I'm sure. It will hit in max of 5 years.,U Kün’taş This,Ethiopia,country,"[[[32.9976911, 3.4049624], [47.9994768, 3.4049624], [47.9994768, 14.8942137], [32.9976911, 14.8942137]]]",no coordinates
1375455140115845127,Fri Mar 26 14:30:34 +0000 2021,en,"Current #weather in #BahrenNil, Partly cloudy with a #temperature of 36 degrees celsius. Keep track of the weather… https://t.co/wtTWR65Eya",Bowvie Weather,Northern Bahr el-Ghazal,admin,"[[[26.135195, 7.8951694], [28.0409372, 7.8951694], [28.0409372, 9.9175181], [26.135195, 9.9175181]]]","[27.1033, 8.4622]"
1375178958426279946,Thu Mar 25 20:13:07 +0000 2021,en,"Al-Bayda Airport, Yemen - Tambillos Airport, Chile
BYD-COW
Weather (Fri): clear-day/19°C",Same Weather,Yemen,country,"[[[41.8153438, 12.1068662], [54.534186, 12.1068662], [54.534186, 18.9986477], [41.8153438, 18.9986477]]]","[45.441079, 14.105974]"
